a (an)|一（个）
a lot|大量，许多
ability|才能；能力
able|可以去做某事
about|关于
across|从一边到另一边；穿过
act|演出；扮演
action|行动
activity|活动
adventure|历险（故事）
advice|建议；忠告
after|在……后；在…… 后
afternoon|下午，午后
afternoon tea|下午茶
afterschool|课外的
again|又，再一次
age|年龄
ago|以前
air|空气
all|全部，所有
all around|处处，到处
all year round|全年
alone|单独，独自
along|向前
also|除此之外，还
ancient|古代的
and|然后，接着；和
angry|发怒的，生气的，气愤的
animal|动物
answer|回答，答复
any|任何一个
anything|任何事情，无论何事
apple|苹果
area|地区，区域
arm|手臂，上肢
army|军队
around|环绕，在（……）周围
art|美术，艺术
artist|画家，美术家；艺术家
artwork|艺术作品
ask|问，提问
astronaut|宇航员
at last|终于
aunt|姑母，姨母
Australian|澳大利亚的
autumn|秋天，秋季
away|离开，相距
baby|幼崽；雏鸟
back|回到原处
bag|袋；包
bake|烘，烤，焙
bakery|面包烘房；面包店
ball|球
balloon|气球
bamboo|竹，竹子
banana|香蕉
band|乐队，乐团
bang|砰，啪
basketball|篮球
bath|洗澡，沐浴
bathroom|浴室，卫生间
be (am, is, are)|是
be careful|当心，小心
beach|海滩，沙滩
bean|豆子
bear|熊
beat|击败，打败，战胜
beautiful|美丽的
beauty|美丽
because|因为
become|成为，变成
bed|床
bedroom|卧室
bee|蜜蜂
beef|牛肉
beep|（使）（汽车喇叭）鸣响
behaviour|行为，举止
behind|在…… 后面
believe|相信
below|在…… 的下面
best|最好的
better|（健康状况）好转的；（疼痛、伤势等）减轻的
beyond|往更远处
big|大的
bike|自行车
bin|垃圾箱，垃圾桶
bird|鸟
birth|出生
birthday|生日
black|黑色（的）
blackboard|黑板
block|一块
blow|吹，刮
blue|蓝色（的）
body|身体
book|书
bookmark|书签
bookshop|书店
border|边境；边界
bottom|底部，基部
bowl|碗
box|盒；箱
boy|男孩；儿子
brand-new|全新的
brave|勇敢的，无畏的
break|使破裂，使破碎；使断裂
breakfast|早餐，早饭
brighten|使更明亮
bring|带来；拿来
British|英国的
broken|骨折的
brother|哥哥；弟弟
brown|棕色的；褐色的
brush|刷子；画笔
bug|小虫子
build|建造
building|建筑
bury|埋，埋藏
bus|公交车，公共汽车
busy|忙的，忙碌的
but|但是，然而
by|经过
bye|再见，拜拜
cabbage|卷心菜，洋白菜，甘蓝
cake|蛋糕
call|（给……）打电话
camp|活动营地，度假营地
can|能，会
Canada|加拿大
cancer|癌（症）
cap|帽子
car|汽车
card|卡片
careful|谨慎的
carefully|仔细地
carrot|胡萝卜
cart|手推车
cat|猫
cave|洞穴，山洞
celebration|庆祝活动
central|中部的
centre|中心
chair|椅子
challenge|向…… 挑战
chameleon|变色龙
character|字
cheep|吱吱（或唧唧）的叫声
cheese|奶酪
chicken|鸡肉；鸡
child|（复数 children）儿童，小孩
China|中国
Chinese knot|中国结
choice|选择
chore|家庭杂务
Christmas|圣诞节
chug|（汽车、火车等）突突地
cinema|电影院
city|城市
clang|发出叮当声
clap|鼓（掌）
class|课；班级
clean|（把……）弄干净
clearly|清楚地，明白地
clever|聪明的
cliff|悬崖，峭壁
clock|时钟
close|合上
clothes|衣服
cloud|云
cloudy|多云的，阴天的
club|俱乐部
coat|外套
cock-a-doodle-doo|（公鸡啼叫的）喔喔声
coin|硬币
cold|冷的，寒冷的
collection|收集，采集
colour|颜色
colourful|颜色鲜艳的，色彩丰富的
come|来；来到
come back|回来
come on|快点；加油
computer|计算机；电脑
concert|音乐会；演唱会
connect|连接
contact|联系，联络
cook|厨师，炊事员
cooking|做饭
cool|时髦的，酷的
corn|玉米
cotton|棉花，棉株
cough|咳嗽，咳
could|能，会，可以
count|数数
country|国家
cousin|堂（表）兄弟
cover|盖，覆盖
cow|奶牛
crayon|彩色蜡笔
create|创造；创作
cross|横穿
cry|哭，哭泣
cucumber|黄瓜
cultural|文化的；文化上的
culture|文化
cupboard|橱柜；衣柜
cupcake|杯形蛋糕
cut|修剪
cute|可爱的，漂亮的，逗人喜爱的
dad (father)|爸爸
daddy|爸爸
dance|跳舞
dancer|舞蹈演员
dark|昏暗的；黑暗的
date|日期
daughter|女儿
day|一天
dead|死的，去世的
deal with|对付，应付，处理
dear|亲爱的
decision|决定
deep|深的
deeply|非常，深深地
deer|鹿
delight|高兴，快乐
desert|沙漠，荒漠
desk|书桌，写字台
destroy|破坏，摧毁，毁掉
detail|细节
diary|日记
different|不同的，不一样的，有差异的
difficult|困难的
difficulty|困难
dig|挖，掘
digest|消化
digital|数字的
dining room|餐厅
dinner|正餐，主餐
direction|方向
dirty|脏的
discussion|讨论，谈论
dish|盘子，碟子
do|（构成疑问句或否定句）；做
doctor|医生，大夫
dog|狗
dolphin|海豚
door|门
dot|点，小圆点
drama|戏剧
draw|画，绘画
dream|梦
dress|连衣裙
dressmaker|裁缝
driver|司机，驾驶员
drop|落差
drum|鼓
duck|鸭
dumpling|水饺
during|在…… 期间
each other|互相，彼此
ear|耳朵
early|早的；提早，提前
earring|耳环
earth|泥土，土壤
earthquake|地震
East|亚洲国家，东方国家
eastern|东部的；来自东部的
easy|容易的
eat|吃
egg|蛋
eight|八
eighty|八十
elderly|年老的
elephant|象
eleven|十一
email|电子邮件
engineer|工程师；设计师
English|英语
enjoy|享受……的乐趣
enough|足够（的）
enter|进入
equator|赤道
eraser|橡皮
eruption|（火山）爆发，喷发
even|甚至
evening|傍晚；晚上
event|活动，事件
ever|总是
every|每，每逢，每隔
everybody|每个人，人人
everyone|每个人，人人
everything|每件事物；所有事物
everywhere|在各个地方；处处
excited|兴奋的，激动的
exciting|令人兴奋的
exhibition|展览（会）
expensive|昂贵的，花钱多的
experience|经历；体验
expert|专家
explore|探讨，探究
eye|眼睛
face|脸
fact|事实；真相
fail|失败
fair|户外游艺会；义卖会；集市
fairy tale|童话；神话
fall|落下，降落，跌落
fall off|（从某物上）掉下，脱落
family|家庭；家人
famous|著名的，出名的
fantasy|幻想作品
far|远
farmer|农民
fast|快的，快速的
father|父亲，爸爸
favourite|最喜欢的
fear|害怕，恐惧；担忧
February|二月
feed|喂养，给……食物
feeder|饲料容器
feel|感受到，觉得
feeling|感觉，感触
festival|节，节庆，汇演
fever|发烧，发热
fiction|小说
field|田地，田野
fifteen|十五
fill|（使）充满
film|电影
finally|最后
find|发现，找到
fine|健康的；好的
finger|手指
fire|火
fire station|消防站
fireman|消防队员
fish|鱼肉；鱼
five|五
flood|洪水，水灾
floor|地板，地面
flow|（谈话或思路）流畅
flower|花，花朵
flu|流行性感冒，流感
fly|放飞
flyer|飞行员
fold|折叠
follow|跟随，跟着
food|食物
foot|（复数 feet）脚
football|足球
for|为了
forest|森林，林区
forever|永远
forget|忘记，遗忘
form|种类，类型
forty-five|四十五
four|四
fox|狐狸
free|空闲的，有空的
freely|自由地
Friday|星期五
fridge|冰箱
friend|朋友
friendly|友好的，友善的
frog|蛙，青蛙
from|从
front|最前面
frown|皱眉
fruit|水果
fun|有趣的，逗乐的
game|游戏
garden|做园艺工作；花园
gas|气体
gecko|壁虎
get|抓住；获得，得到
get out|逃出去
gift|礼物
giraffe|长颈鹿
girl|女儿；女孩
give|给予
give up|放弃
glad|高兴的，开心的
gladly|高兴地
glue|黏合，粘贴
go|走，去
gold|金，黄金
golden|金色的，金黄色的
good|好的
goodbye|再见
grade|年级
graduate|毕业
graduation|毕业典礼
grain|谷粒
grandma (grandmother)|祖母；外祖母
think|想，认为
grandpa (grandfather)|祖父；外祖父
door|门
grape|葡萄
grass|草地；草，青草
grassland|草原
great|极棒的，极好的
green|绿色（的）
grey|灰色；灰色的
grow|成长，长大
grow up|长大
growth|成长
guard|警卫
guess|猜，猜测
guide|带领，引导
guitar|吉他
gym|体育馆
hair|头发
half|一半，半
half past one|1 点半 / 2 点半等
hamburger|汉堡包
hand|手
hang|悬挂
happily|快乐地
happiness|快乐，幸福
happy|高兴的，快乐的
hard|困难的
hardly|几乎不
hat|帽子
have|有，拥有
he|他
head|头，头部
headache|头痛
headmaster|男校长
health|健康（状况）
hear|听见
heart|心，内心
height|身高
hello|喂，哈啰，你好
help|帮助，帮忙
helper|帮手；助手
helpful|乐于助人的
her|她的
here|在这里
here you are|给你
hero|英雄，豪杰
